No,Kode Saham,Nama Perusahaan,First Trade,Tertinggi,Terendah,Penutupan,Selisih,Volume,Nilai,Frekuensi,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
475,KRYA,Bangun Karya Perkasa Jaya Tbk.,0,64,62,63,-1,636800,39945000,101,50.4,63,238200,62,254700,1663943474,1663943474,363904438,0,0,0,0,0
476,KUAS,Ace Oldfields Tbk.,0,52,51,51,0,637100,32563200,43,26.2,52,777500,51,1328700,1292808150,1292808150,387971726,0,0,0,0,0
477,LABA,Ladangbaja Murni Tbk.,0,51,50,50,0,401100,20055200,25,40.0,51,551500,50,174400,1011320535,1011320535,211365992,0,0,0,0,0
478,LAJU,Jasa Berdikari Logistics Tbk.,0,68,65,66,-1,6054000,399256800,485,66.0,66,890200,65,1393100,2149932731,845076731,700012772,33300,0,0,0,0
479,LAND,Trimitra Propertindo Tbk.,0,0,0,50,0,0,0,0,12.8,50,19445100,0,0,2792620000,2792620000,904250356,0,0,0,0,0
480,LAPD,Leyand International Tbk.,0,26,26,26,-2,10400,270400,4,48.2,26,13674000,0,0,3966350139,3966350139,947957683,0,0,0,0,0
481,LCGP,Eureka Prima Jakarta Tbk.,0,0,0,114,0,0,0,0,91.2,0,0,0,0,5630000914,5630000914,4919494799,0,0,0,0,0
482,LCKM,LCK Global Kedaton Tbk.,0,288,288,288,0,15000,4320000,5,138.5,288,379400,0,0,1000000000,1000000000,107000000,15000,0,0,0,0
483,LEAD,Logindo Samudramakmur Tbk.,0,63,61,63,1,2348100,145270300,285,9.8,63,584500,62,127200,4049616328,4049616328,2190842433,369700,388000,0,0,0
484,LFLO,Imago Mulia Persada Tbk.,0,50,48,48,1,18100,871000,10,48.0,49,18200,48,20100,1307734937,1307734937,0,0,0,0,0,0
485,LIFE,MSIG Life Insurance Indonesia Tbk.,0,0,0,6025,0,0,0,0,99.6,6025,200,0,0,2100000000,2100000000,157500000,0,0,0,0,0
486,LINK,Link Net Tbk.,0,1570,1550,1550,-15,2500,3892500,11,96.9,1570,100,1550,1400,2863195484,2863195484,13170699,0,0,0,0,0
487,LION,Lion Metal Works Tbk.,0,610,575,605,-10,5100,3043500,11,378.9,605,3900,585,600,520160000,520160000,114851328,2000,0,0,0,0
488,LMAS,Limas Indonesia Makmur Tbk,0,0,0,50,0,0,0,0,15.7,0,0,0,0,787851525,787851525,620669431,0,0,0,0,0
489,LMAX,Lupromax Pelumas Indonesia Tbk.,0,193,190,193,3,12335800,2356120500,501,96.5,193,36300,192,35200,650000000,195000000,0,14900,1969600,0,0,0
490,LMPI,Langgeng Makmur Industri Tbk.,0,118,113,116,0,96300,11233100,50,16.9,117,900,116,7100,1008517669,1008517669,29448716,100,0,0,0,0
491,LMSH,Lionmesh Prima Tbk.,0,0,0,450,0,0,0,0,62.5,450,25700,0,0,96000000,96000000,41020800,0,0,0,0,0
492,LOPI,Logisticsplus International Tbk.,0,73,66,70,0,33852800,2358771200,2037,70.0,70,445600,69,14700,1100000000,325000000,0,0,0,0,0,0
493,LPCK,Lippo Cikarang Tbk,0,800,785,790,-10,70800,55841000,30,89.1,790,9400,785,15300,2679600000,2679600000,428200080,0,0,0,0,0
494,LPGI,Lippo General Insurance Tbk.,0,0,0,4930,0,0,0,0,443.1,4910,500,4510,100,300000000,300000000,7800000,0,0,0,0,0
495,LPIN,Multi Prima Sejahtera Tbk,0,360,356,360,0,2000,716400,12,164.2,360,2900,358,100,425000000,425000000,74885000,0,0,0,0,0
496,LPKR,Lippo Karawaci Tbk.,0,88,85,85,-2,3756300,320529000,482,27.4,86,82100,85,509900,70898018369,70898018369,34023959015,1771100,10100,0,0,0
497,LPLI,Star Pacific Tbk,0,242,240,240,0,300,72200,3,7.4,240,1100,230,3800,1170432803,1170432803,274700579,0,0,0,0,0
498,LPPF,Matahari Department Store Tbk.,0,1745,1690,1700,-35,3522000,6012696000,2300,38.5,1705,2400,1700,260300,2260292880,2260292880,1085844700,1537500,1123000,0,0,0
499,LPPS,Lenox Pasifik Investama Tbk.,0,79,72,74,-5,1810600,133662800,220,5.0,74,131200,73,45000,2588250000,2588250000,833934150,19500,115700,0,0,0
500,LRNA,Eka Sari Lorena Transport Tbk.,0,218,212,212,-2,24200,5146200,22,23.6,214,900,212,3100,350000022,350000022,73920005,0,0,0,0,0
501,LSIP,PP London Sumatra Indonesia Tbk.,0,930,910,915,5,780800,717867500,351,236.1,920,11100,915,95800,6822863965,6822863965,2758483901,99900,73300,0,0,0
502,LTLS,Lautan Luas Tbk.,0,1055,1040,1050,5,632000,662895500,39,371.2,1050,123100,1045,29900,1560000000,1560000000,643656000,0,0,0,0,0
503,LUCK,Sentral Mitra Informatika Tbk.,0,86,83,83,-2,1493600,125424100,236,29.0,84,20200,83,1000300,715749640,354601900,183947657,0,0,0,0,0
504,LUCY,Lima Dua Lima Tiga Tbk.,0,134,125,132,3,63500,8145300,48,132.0,132,6500,126,100,1074688269,1074688269,0,21600,0,0,0,0
505,MABA,Marga Abhinaya Abadi Tbk.,0,0,0,50,0,0,0,0,105.4,0,0,0,0,15365229912,15358819212,9415812890,0,0,0,0,0
506,MAGP,Multi Agro Gemilang Plantation Tbk.,0,0,0,50,0,0,0,0,45.5,0,0,0,0,9000000004,9000000004,2478600001,0,0,0,0,0
507,MAHA,Mandiri Herindo Adiperkasa Tbk.,0,226,200,218,16,139410300,30393665200,7479,184.7,218,1705200,216,2638400,16666000000,4166000000,2356572400,16398500,13005100,0,0,0
508,MAIN,Malindo Feedmill Tbk.,0,555,525,545,0,2111400,1136741500,244,309.7,545,237400,535,113000,2238750000,2238750000,949006125,239500,34400,0,0,0
509,MAMI,Mas Murni Indonesia Tbk,0,0,0,50,0,0,0,0,6.8,0,0,0,0,12299317590,12259317371,7584989158,0,0,0,0,0
510,MAMIP,Mas Murni Tbk (Saham Preferen),0,0,0,600,0,0,0,0,400.0,0,0,0,0,6000000,6000000,2185800,0,0,0,0,0
511,MAPA,Map Aktif Adiperkasa Tbk.,0,785,760,760,-15,3984600,3085635500,737,361.9,760,400,755,97700,28504000000,28504000000,8767830400,2640300,232900,100,77500,1
512,MAPB,MAP Boga Adiperkasa Tbk.,0,0,0,1990,0,0,0,0,118.5,1990,600,1835,100,2387922900,2387922900,207510500,0,0,0,0,0
513,MAPI,Mitra Adiperkasa Tbk.,1650,1710,1645,1685,20,12641200,21342588500,3761,2704.0,1690,10000,1685,20700,16600000000,16600000000,8074240000,7308200,9861200,7851869,12977250595,3
514,MARI,Mahaka Radio Integra Tbk.,0,68,65,65,-2,55049800,3631419200,1671,86.7,66,1182700,65,3300100,5252644000,5252644000,1844728573,2356500,7678300,0,0,0
515,MARK,Mark Dynamics Indonesia Tbk.,0,494,474,484,-8,8672700,4165595000,1096,968.0,486,1000,484,43400,3800000310,3800000310,674120055,1640500,1619500,0,0,0
516,MASA,Multistrada Arah Sarana Tbk.,0,2440,2310,2440,130,31200,72958000,28,1734.9,2440,5400,2360,500,9182946945,9182946945,33058609,0,700,0,0,0
517,MASB,Bank Multiarta Sentosa Tbk.,0,3490,3460,3470,10,7200,24966000,5,103.3,3490,4700,3470,44900,1387737233,1387737233,343464965,0,0,0,0,0
518,MAXI,Maxindo Karya Anugerah Tbk.,0,51,50,50,0,4061200,203342900,63,50.0,51,2360300,50,2847400,9610000000,9610000000,2660048000,0,0,0,0,0
519,MAYA,Bank Mayapada Internasional Tbk.,0,454,430,446,-8,550400,242969800,178,338.7,446,15100,444,210400,11714045161,11714045161,301050961,0,0,0,0,0
520,MBAP,Mitrabara Adiperdana Tbk.,0,4290,4260,4290,0,77300,330795000,169,330.0,4290,52800,4280,108500,1227271952,1227271952,119168107,200,0,0,0,0
521,MBMA,Merdeka Battery Materials Tbk.,0,635,605,605,-20,23381000,14449003500,2503,76.1,610,56200,605,222000,107995419900,46975729900,28553989022,3996100,5391300,0,0,0
522,MBSS,Mitrabahtera Segara Sejati Tbk.,0,1210,1170,1200,35,27800,33200000,30,75.0,1205,5800,1175,200,1750026639,1750026639,210528205,7800,0,0,0,0
523,MBTO,Martina Berto Tbk.,0,113,107,109,-4,1517100,166852200,347,14.7,110,16500,109,25000,1070000000,1070000000,354491000,216800,0,0,0,0
524,MCAS,M Cash Integrasi Tbk.,0,6575,6450,6475,-100,15400,99820000,57,467.5,6475,6600,6450,1000,867933300,867933300,427977910,5100,1600,0,0,0
525,MCOL,Prima Andalan Mandiri Tbk.,0,5700,5450,5625,175,294700,1660285000,281,396.1,5625,3300,5600,2200,3555560000,3555560000,299022596,6300,36100,0,0,0
526,MCOR,Bank China Construction Bank Indonesia Tbk.,0,80,78,78,-1,2494200,195446600,109,70.0,79,401400,78,950900,37540533209,37540533209,7286617496,161200,0,0,0,0
527,MDIA,Intermedia Capital Tbk.,0,0,0,50,0,0,0,0,36.2,50,21871100,0,0,39215538400,39215538400,3913710732,0,0,0,0,0
